date	toll	publisher	title	origin
2024-01-20	25000	voice of america - voa news	palestinian death toll in gaza passes 25000 health ministry says - voice of america - voa news	https://www.voanews.com/a/palestinian-death-toll-in-gaza-passes-25-000-health-ministry-says/7448829.html
2024-01-20	25000	the new york times	u.n. chief says gaza death toll is 'unacceptable' as it passes 25000 - the new york times	https://www.nytimes.com/2024/01/21/world/middleeast/gaza-death-toll-israel-war.html
2024-01-20	25000	france 24 english	heavy bombardment in khan younis as gaza death toll tops 25000 - france 24 english	https://www.france24.com/en/middle-east/20240121-%f0%9f%94%b4-live-fighting-rages-across-gaza-as-israeli-troops-push-into-khan-younis
2024-01-20	25000	whyy	palestinian death toll in gaza surpasses 25000 while israel announces the death of another hostage - whyy	https://whyy.org/articles/israel-hamas-war-gaza-palestinian-death-toll-surpasses-25000/
2024-01-20	25000	abc news	palestinian death toll in gaza surpasses 25000 with no end in sight to israel-gaza war - abc news	https://news.google.com/rss/articles/cbmibwh0dhbzoi8vd3d3lmfiyy5uzxquyxuvbmv3cy8ymdi0ltaxltiyl2dhemetc3ryaxatzgvhdggtdg9sbc0yntawmc1ozwfsdggtbwluaxn0cnktaxnyywvslxbhbgvzdgluzs8xmdmznzm3odlsashodhrwczovl2ftcc5hymmubmv0lmf1l2fydgljbguvmtazmzcznzgy?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-21	25000	abc news	palestinian death toll in gaza surpasses 25000 with no end in sight to israel-gaza war - abc news	https://www.abc.net.au/news/2024-01-22/gaza-strip-death-toll-25000-health-ministry-israel-palestine/103373782
2024-01-22	24	reuters	gaza: israel loses 24 soldiers its highest one-day death toll - reuters	https://www.reuters.com/world/middle-east/israeli-military-says-21-soldiers-killed-gaza-fighting-2024-01-23/
2024-01-23	25700	anadolu agency | english	death toll in israeli attacks on gaza rises to 25700 - anadolu agency | english	https://news.google.com/rss/articles/cbmiymh0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9kzwf0ac10b2xslwlulwlzcmflbgktyxr0ywnrcy1vbi1nyxphlxjpc2vzlxrvlti1ltcwmc8zmte3mjyw0gea?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-24	26000	anadolu agency | english	palestinian death toll in israeli attacks on gaza nears 26000 - anadolu agency | english	https://news.google.com/rss/articles/cbmia2h0dhbzoi8vd3d3lmfhlmnvbs50ci9lbi9tawrkbgutzwfzdc9wywxlc3rpbmlhbi1kzwf0ac10b2xslwlulwlzcmflbgktyxr0ywnrcy1vbi1nyxphlw5lyxjzlti2ltawmc8zmte5mday0gea?oc=5&hl=en-us&gl=us&ceid=us:en
2024-01-25	26000	the associated press	live updates | un court keeps genocide case against israel alive as gaza death toll surpasses 26000 - the associated press	https://apnews.com/article/israel-hamas-war-live-updates-1-26-2024-49a168140cbca3778095e8fb437aba37
